trial_num,Block,Trial Type,Reward Size,Trial Possible,Start Time,Choice Time,Collection Time,Shock Ocurred,Omission,Win or Loss,Learning Stratergy
0,1.0,,,,,,,False,,,
1,1.0,Forced,Small,,60.893,77.73,80.718,False,,,
2,1.0,Forced,Large,,89.491,92.805,94.18,False,,,
3,1.0,Forced,Large,,102.515,106.316,107.639,False,,,
4,,Forced,,,115.703,,,False,ITI,,
5,1.0,Forced,Small,,153.728,160.323,161.949,False,,,
6,1.0,Forced,Large,,170.712,172.678,173.818,False,,,
7,1.0,Forced,Large,,187.368,189.132,190.29,False,,,
8,1.0,Forced,Small,,201.322,212.068,213.712,False,,,
9,,Forced,,,223.253,,,False,ITI,,
10,1.0,Forced,Small,,233.429,243.07,244.559,False,,,
11,1.0,Free,Large,,252.559,256.532,257.649,False,,Win,
12,1.0,Free,Large,,265.649,272.724,273.955,False,,Win,Win Stay
13,1.0,Free,Large,,281.956,286.633,287.949,False,,Win,Win Stay
14,1.0,Free,Large,,295.95,299.751,300.933,False,,Win,Win Stay
15,1.0,Free,Large,,308.934,313.158,314.468,False,,Win,Win Stay
16,1.0,Free,Large,,322.468,326.992,328.472,False,,Win,Win Stay
17,1.0,Free,Large,,336.473,339.801,341.133,False,,Win,Win Stay
18,1.0,Free,Large,,349.133,354.834,356.211,False,,Win,Win Stay
19,1.0,Free,Large,,364.211,367.901,369.307,False,,Win,Win Stay
20,1.0,Free,Large,,377.914,380.515,381.913,False,,Win,Win Stay
21,1.0,Free,Large,,389.913,394.891,396.27,False,,Win,Win Stay
22,1.0,Free,Large,,404.27,406.143,407.334,False,,Win,Win Stay
23,1.0,Free,Large,,415.334,420.13,421.519,False,,Win,Win Stay
24,1.0,Free,Large,,429.52,432.838,434.936,False,,Win,Win Stay
25,1.0,Free,Large,,442.936,445.874,447.183,False,,Win,Win Stay
26,1.0,Free,Large,,455.284,457.55,459.652,False,,Win,Win Stay
27,1.0,Free,Large,,468.011,469.778,470.937,False,,Win,Win Stay
28,1.0,Free,Large,,478.938,483.388,484.602,False,,Win,Win Stay
29,1.0,Free,Large,,492.941,494.72,495.919,False,,Win,Win Stay
30,1.0,Free,Large,,504.356,506.176,507.428,False,,Win,Win Stay
31,1.0,Free,Large,,515.428,516.62,517.99,False,,Win,Win Stay
32,2.0,Free,Large,,527.872,529.868,531.755,False,,Win,Win Stay
33,2.0,Forced,Large,,542.532,544.742,545.988,False,,,Win Stay
34,,Forced,,,554.364,,,False,ITI,,
35,,Forced,,,568.571,,,False,ITI,,
36,2.0,Forced,Small,,589.114,593.007,595.825,False,,,
37,2.0,Forced,Large,,606.006,607.98,609.077,False,,,
38,2.0,Forced,Small,,620.635,631.846,633.911,False,,,
39,2.0,Forced,Small,,643.246,648.038,649.812,False,,,
40,2.0,Forced,Large,,659.659,660.366,663.264,True,,,
41,,Forced,,,673.355,,,False,ITI,,
42,2.0,Forced,Small,,700.274,706.185,711.73,False,,,
43,2.0,Forced,Large,,721.513,724.833,728.483,True,,,
44,2.0,Free,Large,,736.484,749.617,752.837,True,,Loss,
45,2.0,Free,Small,,774.005,791.966,799.428,False,,,Lose Shift
46,2.0,Free,,,810.721,,,False,Omission,,
47,2.0,Free,,,848.722,,,False,Omission,,
48,2.0,Free,,,895.799,,,False,Omission,,
49,2.0,Free,Large,,933.8,937.666,942.288,True,,Loss,
50,2.0,Free,Small,,950.288,970.326,978.432,False,,,Lose Shift
51,2.0,Free,,,986.433,,,False,Omission,,
52,2.0,Free,Small,,1032.252,1041.773,1046.993,False,,,
53,2.0,Free,Large,,1054.994,1060.577,1065.608,True,,Loss,
54,2.0,Free,,,1073.609,,,False,Omission,,
55,2.0,Free,,,1111.609,,,False,Omission,,
56,2.0,Free,,,1150.944,,,False,Omission,,
57,2.0,Free,,,1188.945,,,False,Omission,,
58,2.0,Free,Small,,1226.945,1241.513,1248.576,False,,,
59,2.0,Free,Small,,1256.576,1258.514,1260.717,False,,,
60,2.0,Free,,,1268.718,,,False,Omission,,
61,2.0,Free,,,1306.718,,,False,Omission,,
62,2.0,Free,,,1344.718,,,False,Omission,,
63,2.0,Free,,,1382.719,,,False,Omission,,
64,2.0,Free,,,1420.719,,,False,Omission,,
65,2.0,Free,,,1458.719,,,False,Omission,,
66,2.0,Free,,,1496.72,,,False,Omission,,
67,2.0,Free,,,1536.97,,,False,Omission,,
68,2.0,Free,,,1574.971,,,False,Omission,,
69,2.0,Free,Large,,1612.971,1627.492,1634.624,False,,Win,
70,2.0,Free,Large,,1646.991,1659.059,1663.005,True,,Loss,Win Stay
71,2.0,Free,Large,,1671.005,1697.702,1700.093,True,,Loss,
72,2.0,Free,,,1708.094,,,False,Omission,,
73,2.0,Free,,,1749.308,,,False,Omission,,
74,2.0,Free,Small,,1789.77,1801.221,1810.803,False,,,
75,2.0,Free,Small,,1821.878,1838.912,1843.64,False,,,
76,2.0,Free,Large,,1854.409,1863.144,1865.289,False,,Win,
77,2.0,Free,,,1873.29,,,False,Omission,,
78,2.0,Free,Small,,1916.683,1946.11,1952.742,False,,,
79,2.0,Free,,,1960.742,,,False,Omission,,
80,2.0,Free,Large,,2003.112,2015.528,2017.244,False,,Win,
81,2.0,Free,,,2025.244,,,False,Omission,,
82,2.0,Free,Large,,2064.47,2079.883,2081.573,False,,Win,
83,2.0,Free,,,2089.574,,,False,Omission,,
84,2.0,Free,,,2133.742,,,False,Omission,,
85,2.0,Free,Large,,2178.373,2190.686,2197.562,False,,Win,
86,2.0,Free,,,2205.563,,,False,Omission,,
87,2.0,Free,,,2243.563,,,False,Omission,,
88,2.0,Free,Large,,2291.442,2302.838,2304.378,False,,Win,
89,2.0,Free,Large,,2312.378,2331.83,2334.154,True,,Loss,Win Stay
90,2.0,Free,,,2342.154,,,False,Omission,,
91,2.0,Free,Small,,2386.8,2405.271,2407.865,False,,,
92,3.0,Free,Large,,2416.916,2432.513,2434.81,False,,Win,
93,3.0,Forced,Small,,2450.171,2456.267,2459.218,False,,,
94,3.0,Forced,Large,,2468.832,2495.859,2499.501,True,,,
95,,Forced,,,2516.38,,,False,ITI,,
96,3.0,Forced,Small,,2557.732,2563.54,2566.258,False,,,
97,3.0,Forced,Small,,2575.583,2603.801,2607.233,False,,,
98,3.0,Forced,Large,,2621.339,2624.603,2626.5,True,,,
99,,Forced,,,2636.482,,,False,ITI,,
100,,Forced,,,2676.713,,,False,ITI,,
101,,Forced,,,2715.168,,,False,ITI,,
102,,Forced,,,2754.012,,,False,ITI,,
103,,Forced,,,2818.515,,,False,ITI,,
104,,Forced,,,2858.994,,,False,ITI,,
105,,Forced,,,2898.322,,,False,ITI,,
106,,Forced,,,2940.795,,,False,ITI,,
107,,Forced,,,2985.161,,,False,ITI,,
108,,Forced,,,3032.291,,,False,ITI,,
109,,Forced,,,3088.681,,,False,ITI,,
110,3.0,Forced,Large,,3125.037,3149.752,3151.954,True,,,
111,,Forced,,,3173.999,,,False,ITI,,
112,,Forced,,,3211.999,,,False,ITI,,
113,,Forced,,,3249.999,,,False,ITI,,
114,3.0,Forced,Small,,3295.454,3301.338,3306.286,False,,,
115,,Forced,,,3314.594,,,False,ITI,,
116,,Forced,,,3352.594,,,False,ITI,,
117,,Forced,,,3390.594,,,False,ITI,,
118,,Forced,,,3449.849,,,False,ITI,,
119,,Forced,,,3516.218,,,False,ITI,,
120,,Forced,,,3554.218,,,False,ITI,,
121,,Forced,,,3592.218,,,False,ITI,,
122,3.0,Forced,Large,,3659.571,3669.098,3671.006,False,,,
123,3.0,Free,,,3679.007,,,False,Omission,,
124,3.0,Free,,,3717.007,,,False,Omission,,
125,3.0,Free,Large,,3755.387,3773.812,3774.944,False,,Win,
126,3.0,Free,,,3782.944,,,False,Omission,,
127,3.0,Free,Large,,3835.235,3860.579,3862.752,True,,Loss,
128,3.0,Free,,,3870.753,,,False,Omission,,
129,3.0,Free,,,3908.753,,,False,Omission,,
130,3.0,Free,Small,,3963.359,3979.185,3982.463,False,,,
131,3.0,Free,Small,,3992.696,4007.705,4010.348,False,,,
132,3.0,Free,,,4018.348,,,False,Omission,,
133,3.0,Free,,,4075.123,,,False,Omission,,
134,3.0,Free,,,4121.998,,,False,Omission,,
135,3.0,Free,,,4284.226,,,False,Omission,,
136,3.0,Free,Small,,4322.227,4327.107,4329.769,False,,,
137,3.0,Free,Large,,4352.731,4372.862,4375.778,True,,Loss,
138,3.0,Free,,,4383.778,,,False,Omission,,
139,3.0,Free,,,4428.543,,,False,Omission,,
140,3.0,Free,Small,,4467.292,4480.505,4484.092,False,,,
141,3.0,Free,Large,,4492.093,4496.325,4497.434,False,,Win,
142,3.0,Free,,,4505.434,,,False,Omission,,
143,3.0,Free,,,4543.435,,,False,Omission,,
144,3.0,Free,Small,,4584.231,4589.977,4592.836,False,,,
145,3.0,Free,Small,,4606.309,4636.013,4639.37,False,,,
146,3.0,Free,Large,,4647.37,4649.25,4650.523,False,,Win,
147,3.0,Free,Large,,4658.523,4683.354,4685.991,True,,Loss,Win Stay
148,3.0,Free,,,4695.622,,,False,Omission,,
149,3.0,Free,Large,,4736.573,4739.802,4741.113,False,,Win,
150,3.0,Free,,,4749.114,,,False,Omission,,
151,3.0,Free,Small,,4797.809,4808.343,4810.798,False,,,
152,3.0,Free,Large,,4820.948,4830.889,4832.941,True,,Loss,
153,3.0,Free,,,4840.942,,,False,Omission,,
154,3.0,Free,Small,,4886.055,4897.965,4901.587,False,,,
155,3.0,Free,,,4909.587,,,False,Omission,,
156,3.0,Free,Small,,4947.588,4969.448,4972.164,False,,,
157,3.0,Free,Large,,4980.165,4987.755,4989.212,False,,Win,
158,3.0,Free,,,4997.214,,,False,Omission,,
159,3.0,Free,,,5035.214,,,False,Omission,,
160,3.0,Free,,,5073.215,,,False,Omission,,
161,3.0,Free,Small,,5111.215,5139.763,5141.848,False,,,
162,3.0,Free,Small,,5149.848,5163.58,5165.919,False,,,
163,3.0,Free,Large,,5174.078,5200.157,5202.359,True,,Loss,
164,,Free,Small,,5210.359,5225.797,5228.951,False,,,Lose Shift
